line_number, langsxp, r_ms, c_ms, r_percent, c_percent 
2, {, 0, 0, 0.000000, 0.000000
4, <-, 0, 0, 0.000000, 0.000000
4, function, 0, 0, 0.000000, 0.000000
4, {, 0, 0, 0.000000, 0.000000
5, <-, 0, 0, 0.000000, 0.000000
6, <-, 0, 0, 0.000000, 0.000000
6, [, 0, 0, 0.000000, 0.000000
6, (, 0, 0, 0.000000, 0.000000
6, :, 0, 0, 0.000000, 0.000000
7, <-, 0, 0, 0.000000, 0.000000
7, [, 0, 0, 0.000000, 0.000000
7, (, 0, 0, 0.000000, 0.000000
7, :, 0, 0, 0.000000, 0.000000
8, <-, 0, 0, 0.000000, 0.000000
8, [, 0, 0, 0.000000, 0.000000
8, (, 0, 0, 0.000000, 0.000000
8, :, 0, 0, 0.000000, 0.000000
9, <-, 0, 0, 0.000000, 0.000000
9, *, 0, 0, 0.000000, 0.000000
9, *, 0, 0, 0.000000, 0.000000
9, *, 0, 0, 0.000000, 0.000000
10, return, 0, 0, 0.000000, 0.000000
13, <-, 0, 0, 0.000000, 0.000000
13, function, 0, 0, 0.000000, 0.000000
13, {, 0, 0, 0.000000, 0.000000
14, <-, 0, 0, 0.000000, 0.000000
15, <-, 0, 0, 0.000000, 0.000000
16, while, 0, 0, 0.000000, 0.000000
16, <, 0, 0, 0.000000, 0.000000
16, {, 0, 0, 0.000000, 0.000000
17, <-, 0, 0, 0.000000, 0.000000
17, *, 0, 0, 0.000000, 0.000000
18, <-, 0, 0, 0.000000, 0.000000
18, *, 0, 0, 0.000000, 0.000000
19, <-, 0, 0, 0.000000, 0.000000
19, *, 0, 0, 0.000000, 0.000000
20, <-, 0, 0, 0.000000, 0.000000
20, *, 0, 0, 0.000000, 0.000000
21, <-, 0, 0, 0.000000, 0.000000
21, +, 0, 0, 0.000000, 0.000000
23, return, 0, 0, 0.000000, 0.000000
26, <-, 0, 0, 0.000000, 0.000000
26, function, 0, 0, 0.000000, 0.000000
26, {, 0, 0, 0.000000, 0.000000
27, <-, 0, 0, 0.000000, 0.000000
27, +, 0, 0, 0.000000, 0.000000
28, <-, 0, 0, 0.000000, 0.000000
28, +, 0, 0, 0.000000, 0.000000
29, <-, 0, 0, 0.000000, 0.000000
29, +, 0, 0, 0.000000, 0.000000
30, <-, 0, 0, 0.000000, 0.000000
30, +, 0, 0, 0.000000, 0.000000
31, <-, 0, 0, 0.000000, 0.000000
31, +, 0, 0, 0.000000, 0.000000
32, return, 0, 0, 0.000000, 0.000000
35, <-, 0, 0, 0.000000, 0.000000
35, function, 0, 0, 0.000000, 0.000000
35, {, 0, 0, 0.000000, 0.000000
36, <-, 0, 0, 0.000000, 0.000000
37, for, 0, 0, 0.000000, 0.000000
37, :, 0, 0, 0.000000, 0.000000
37, {, 0, 0, 0.000000, 0.000000
38, cat, 0, 0, 0.000000, 0.000000
39, for, 0, 0, 0.000000, 0.000000
39, :, 0, 0, 0.000000, 0.000000
39, {, 0, 0, 0.000000, 0.000000
40, <-, 0, 0, 0.000000, 0.000000
40, doit1, 0, 0, 0.000000, 0.000000
41, <-, 0, 0, 0.000000, 0.000000
41, doit2, 15460, 9333, 62.316095, 37.619412
42, <-, 0, 0, 0.000000, 0.000000
42, doit3, 0, 0, 0.000000, 0.000000
43, <-, 0, 0, 0.000000, 0.000000
46, return, 0, 0, 0.000000, 0.000000
49, print, 0, 0, 0.000000, 0.000000
50, stuff, 10, 6, 0.040308, 0.024185
