line_number, langsxp, r_ms, c_ms, r_percent, c_percent 
1, {, 0, 0, 0.000000, 0.000000
2, lapply, 0, 0, 0.000000, 0.000000
2, :, 0, 0, 0.000000, 0.000000
2, function, 0, 0, 0.000000, 0.000000
2, {, 0, 0, 0.000000, 0.000000
4, library, 0, 0, 0.000000, 0.000000
7, <-, 0, 0, 0.000000, 0.000000
7, rnorm, 0, 0, 0.000000, 0.000000
10, <-, 0, 0, 0.000000, 0.000000
10, function, 0, 0, 0.000000, 0.000000
10, {, 0, 0, 0.000000, 0.000000
11, mean, 8100, 4950, 51.579215, 31.520632
11, [, 0, 0, 0.000000, 0.000000
15, <-, 0, 0, 0.000000, 0.000000
15, Sys.time, 0, 0, 0.000000, 0.000000
16, <-, 0, 0, 0.000000, 0.000000
16, boot, 430, 2224, 2.738156, 14.161997
17, <-, 0, 0, 0.000000, 0.000000
17, Sys.time, 0, 0, 0.000000, 0.000000
22, {, 0, 0, 0.000000, 0.000000
23, foo, 0, 0, 0.000000, 0.000000
