line_number, langsxp, r_ms, c_ms, r_percent, c_percent 
13, {, 0, 0, 0.000000, 0.000000
14, lapply, 0, 0, 0.000000, 0.000000
14, :, 0, 0, 0.000000, 0.000000
14, function, 0, 0, 0.000000, 0.000000
14, {, 0, 0, 0.000000, 0.000000
15, foo, 31390, 18829, 18.837918, 11.299750
16, argtracer::trace_code, 500, 49904, 0.300062, 29.948629
16, ::, 0, 0, 0.000000, 0.000000
18, foo, 15470, 9235, 9.283931, 5.542153
19, argtracer::trace_code, 500, 24804, 0.300062, 14.885496
19, ::, 0, 0, 0.000000, 0.000000
21, foo, 2990, 1682, 1.794373, 1.009410
22, argtracer::trace_code, 500, 4828, 0.300062, 2.897403
22, ::, 0, 0, 0.000000, 0.000000
24, foo, 1490, 776, 0.894186, 0.465697
25, argtracer::trace_code, 500, 2234, 0.300062, 1.340679
25, ::, 0, 0, 0.000000, 0.000000
27, foo, 0, 0, 0.000000, 0.000000
28, argtracer::trace_code, 500, 500, 0.300062, 0.300062
28, ::, 0, 0, 0.000000, 0.000000
30, foo, 0, 0, 0.000000, 0.000000
31, argtracer::trace_code, 0, 0, 0.000000, 0.000000
31, ::, 0, 0, 0.000000, 0.000000
33, foo, 0, 0, 0.000000, 0.000000
34, argtracer::trace_code, 0, 0, 0.000000, 0.000000
34, ::, 0, 0, 0.000000, 0.000000





15, foo, 31390, 18829, 18.837918, 11.299750

18, foo, 15470, 9235, 9.283931, 5.542153

21, foo, 2990, 1682, 1.794373, 1.009410

24, foo, 1490, 776, 0.894186, 0.465697

18.837918 + 11.299750 + 9.283931+ 5.542153 + 1.794373+ 1.009410+ 0.894186+ 0.465697
18.837918 + 9.283931 + 1.794373+ 0.894186

16, argtracer::trace_code, 500, 49904, 0.300062, 29.948629
19, argtracer::trace_code, 500, 24804, 0.300062, 14.885496
22, argtracer::trace_code, 500, 4828, 0.300062, 2.897403
25, argtracer::trace_code, 500, 2234, 0.300062, 1.340679
28, argtracer::trace_code, 500, 500, 0.300062, 0.300062
